frase,risco_churn
Nossa gerência está animada com os novos recursos de o sistema Protheus.,0
A equipe comercial está muito satisfeita com a plataforma Fluig recentemente.,0
Um concorrente ofereceu uma proposta melhor que o módulo fiscal.,1
O setor de RH elogiou o desempenho de o sistema de gestão no último trimestre.,0
O setor de RH está muito satisfeita com o módulo de estoque há duas semanas.,0
Não tivemos nenhum problema com o ERP ao longo do ano.,0
O módulo financeiro tem atendido bem nossas necessidades nos últimos dias.,0
O time financeiro está animada com os novos recursos de o ERP.,0
Tivemos perda de dados usando o módulo de vendas recentemente.,1
A equipe de compras recomendaria o sistema para outras empresas.,0
Um concorrente ofereceu uma proposta melhor que a plataforma Fluig.,1
A equipe de projetos está muito satisfeita com o ERP essa semana.,0
O setor de RH está insatisfeita com o sistema de gestão recentemente.,1
A equipe de compras recomendaria o módulo de vendas para outras empresas.,0
A diretoria elogiou o desempenho de a solução da TOTVS esse mês.,0
A diretoria está muito satisfeita com o sistema Protheus essa semana.,0
A equipe de projetos recomendaria o módulo de RH para outras empresas.,0
Nossa equipe reclamou da demora do suporte sobre o módulo de RH no último trimestre.,1
A equipe de compras está animada com os novos recursos de o módulo de vendas.,0
A experiência com o ERP tem sido muito positiva nos últimos dias.,0
O módulo de estoque apresentou instabilidade recentemente.,1
A experiência com o ERP tem sido muito positiva há duas semanas.,0
O custo de a plataforma Fluig aumentou e nossa gerência está reconsiderando o contrato.,1
Tivemos perda de dados usando o ERP ao longo do ano.,1
Nossa equipe questiona se vale a pena continuar pagando por o módulo financeiro.,1
O setor de RH conseguiu automatizar processos importantes com o módulo de estoque.,0
A experiência com o módulo de vendas tem sido muito positiva essa semana.,0
A equipe de operações está animada com os novos recursos de o módulo financeiro.,0
O time de suporte interno elogiou o desempenho de o sistema Protheus nas últimas reuniões.,0
Tivemos perda de dados usando o módulo fiscal essa semana.,1
A plataforma Fluig apresentou lentidão constante recentemente.,1
A diretoria elogiou o desempenho de o módulo de estoque nos últimos meses.,0
O custo de o módulo de estoque aumentou e a equipe de operações está reconsiderando o contrato.,1
Nossa equipe elogiou o desempenho de a solução da TOTVS esse mês.,0
A experiência com o sistema tem sido muito positiva ao longo do ano.,0
O time financeiro está muito satisfeita com o sistema Protheus recentemente.,0
Conseguimos automatizar boa parte dos processos manuais.,0
A equipe de projetos elogiou o desempenho de a plataforma Fluig nos últimos meses.,0
O time de logística conseguiu automatizar processos importantes com o sistema Protheus.,0
O setor de RH está muito satisfeita com o módulo de RM esse mês.,0
A equipe comercial reclamou da demora do suporte sobre o sistema Protheus desde a última atualização.,1
Nosso time de TI está animada com os novos recursos de a plataforma Fluig.,0
O time de logística está insatisfeita com o sistema Protheus nos últimos meses.,1
A equipe de compras conseguiu automatizar processos importantes com a plataforma Fluig.,0
O sistema de gestão tem atendido bem nossas necessidades há duas semanas.,0
Não tivemos nenhum problema com o módulo de RH essa semana.,0
A diretoria está frustrada com a complexidade de o ERP.,1
Nosso time de TI está muito satisfeita com a plataforma Fluig recentemente.,0
O sistema Protheus se mostrou estável mesmo em períodos de pico esse mês.,0
Nossa equipe reclamou da demora do suporte sobre o sistema de gestão ao longo do ano.,1
O time financeiro está avaliando trocar o sistema de gestão por outra solução.,1
Nossa equipe está frustrada com a complexidade de a plataforma Fluig.,1
A plataforma Fluig tem atendido bem nossas necessidades nas últimas reuniões.,0
O sistema se mostrou estável mesmo em períodos de pico esse mês.,0
Tivemos perda de dados usando o módulo de RH ao longo do ano.,1
A experiência com o sistema de gestão tem sido muito positiva essa semana.,0
Nossa gerência está animada com os novos recursos de o ERP.,0
O setor de RH elogiou o desempenho de a plataforma esse mês.,0
O setor de RH está muito satisfeita com o módulo de RH essa semana.,0
O time de suporte interno está confiante na parceria com a TOTVS.,0
O setor de RH está animada com os novos recursos de a solução da TOTVS.,0
O módulo financeiro apresentou lentidão constante há duas semanas.,1
Não tivemos nenhum problema com o módulo fiscal recentemente.,0
Nosso time de TI está insatisfeita com o sistema de gestão no último trimestre.,1
O time de logística está frustrada com a complexidade de o ERP.,1
A equipe de compras está animada com os novos recursos de o sistema Protheus.,0
A equipe de operações elogiou o desempenho de o sistema Protheus recentemente.,0
A experiência com o módulo financeiro tem sido muito positiva nos últimos meses.,0
Nossa equipe está frustrada com a complexidade de a solução da TOTVS.,1
Não tivemos nenhum problema com o módulo de RH recentemente.,0
A equipe comercial conseguiu automatizar processos importantes com o módulo de RH.,0
A equipe de compras está insatisfeita com o módulo de vendas nas últimas reuniões.,1
Nosso time de TI elogiou o desempenho de o módulo fiscal nos últimos dias.,0
Nosso time de TI recomendaria o módulo de estoque para outras empresas.,0
A equipe de projetos está confiante na parceria com a TOTVS.,0
A diretoria quer expandir o uso de a plataforma para outros setores.,0
O sistema Protheus apresentou instabilidade há duas semanas.,1
Nosso time de TI conseguiu automatizar processos importantes com o módulo de RH.,0
O time financeiro está muito satisfeita com o ERP desde a última atualização.,0
O time financeiro reclamou da demora do suporte sobre o módulo de vendas esse mês.,1
Tivemos perda de dados usando o módulo de vendas nas últimas reuniões.,1
O suporte resolveu rapidamente nosso chamado sobre o módulo de RM.,0
A equipe de projetos elogiou o desempenho de o sistema Protheus desde a última atualização.,0
Nosso time de TI questiona se vale a pena continuar pagando por o módulo de compras.,1
Tivemos perda de dados usando o sistema Protheus desde a última atualização.,1
O módulo de vendas se mostrou estável mesmo em períodos de pico nos últimos meses.,0
O módulo de RH se mostrou estável mesmo em períodos de pico há duas semanas.,0
O time de suporte interno conseguiu automatizar processos importantes com o módulo financeiro.,0
Não tivemos nenhum problema com o sistema Protheus esse mês.,0
A equipe comercial está avaliando trocar o módulo de estoque por outra solução.,1
O time de suporte interno elogiou o desempenho de a solução da TOTVS nos últimos meses.,0
Nossa equipe já domina bem o sistema depois do treinamento.,0
Não tivemos nenhum problema desde a última atualização.,0
A equipe comercial quer expandir o uso de o módulo de compras para outros setores.,0
O setor de RH está confiante na parceria com a TOTVS.,0
Não tivemos nenhum problema com o sistema nas últimas reuniões.,0
A equipe de compras está muito satisfeita com o módulo de estoque recentemente.,0
O time financeiro está muito satisfeita com o módulo fiscal nas últimas reuniões.,0
O time de logística está confiante na parceria com a TOTVS.,0
A experiência com o ERP tem sido muito positiva nas últimas reuniões.,0
Nossa equipe está animada com os novos recursos de o módulo de estoque.,0
O suporte remoto resolveu nosso problema no mesmo dia.,0
Nossa gerência está insatisfeita com o módulo de vendas nas últimas reuniões.,1
O módulo financeiro apresentou lentidão constante esse mês.,1
A equipe de compras elogiou o desempenho de a plataforma no último trimestre.,0
O time de logística está muito satisfeita com o ERP nos últimos meses.,0
A equipe de compras está frustrada com a complexidade de o módulo de RH.,1
A equipe de compras está insatisfeita com a solução da TOTVS há duas semanas.,1
Nossa equipe reclamou da demora do suporte sobre a plataforma Fluig desde a última atualização.,1
O time financeiro elogiou o desempenho de o módulo de compras esse mês.,0
Nossa equipe está avaliando trocar o módulo de RM por outra solução.,1
A equipe comercial quer expandir o uso de o módulo de RH para outros setores.,0
O time de logística elogiou o desempenho de a plataforma Fluig recentemente.,0
O ERP apresentou instabilidade nas últimas reuniões.,1
A equipe de projetos está avaliando trocar a plataforma por outra solução.,1
Nossa equipe elogiou o desempenho de o módulo de RH ao longo do ano.,0
O módulo fiscal apresentou instabilidade nos últimos meses.,1
O time de logística quer expandir o uso de o sistema para outros setores.,0
A equipe comercial reclamou da demora do suporte sobre o módulo financeiro no último trimestre.,1
A experiência com o módulo de compras tem sido muito positiva nos últimos meses.,0
A equipe comercial está muito satisfeita com a plataforma Fluig nos últimos dias.,0
O time de suporte interno está animada com os novos recursos de o módulo financeiro.,0
O sistema Protheus tem atendido bem nossas necessidades ao longo do ano.,0
O time de logística recomendaria o sistema Protheus para outras empresas.,0
Não tivemos nenhum problema com o módulo de compras no último trimestre.,0
A diretoria elogiou o desempenho de o ERP recentemente.,0
Não tivemos nenhum problema com o sistema recentemente.,0
O custo de o módulo de compras aumentou e o time de suporte interno está reconsiderando o contrato.,1
Nossa equipe está animada com os novos recursos de o módulo de RH.,0
O módulo de RM tem atendido bem nossas necessidades recentemente.,0
Nosso time de TI quer expandir o uso de o módulo de vendas para outros setores.,0
A diretoria conseguiu automatizar processos importantes com o módulo de RM.,0
O time financeiro está avaliando trocar o módulo de vendas por outra solução.,1
Não tivemos nenhum problema com o módulo de RH há duas semanas.,0
O setor de RH elogiou o desempenho de o sistema de gestão nos últimos dias.,0
O setor de RH quer expandir o uso de o sistema de gestão para outros setores.,0
O módulo de RM tem atendido bem nossas necessidades nas últimas reuniões.,0
O time financeiro elogiou o desempenho de a plataforma Fluig ao longo do ano.,0
Não tivemos nenhum problema com o sistema Protheus há duas semanas.,0
A equipe de compras recomendaria o módulo financeiro para outras empresas.,0
A equipe de projetos está insatisfeita com a plataforma no último trimestre.,1
O módulo de vendas se mostrou estável mesmo em períodos de pico desde a última atualização.,0
A equipe de operações elogiou o desempenho de o módulo de estoque essa semana.,0
O time de logística quer expandir o uso de o ERP para outros setores.,0
A equipe de compras está avaliando trocar o ERP por outra solução.,1
O setor de RH elogiou o desempenho de o sistema Protheus há duas semanas.,0
O time de logística está muito satisfeita com o módulo de RH desde a última atualização.,0
A equipe de projetos elogiou o desempenho de o módulo de RM há duas semanas.,0
O time de suporte interno conseguiu automatizar processos importantes com o módulo de estoque.,0
O custo de o módulo de RM aumentou e nosso time de TI está reconsiderando o contrato.,1
Não tivemos nenhum problema com o módulo de compras nas últimas reuniões.,0
A equipe de compras está animada com os novos recursos de o sistema.,0
Não recebemos retorno do chamado sobre o módulo de estoque nos últimos meses.,1
O time financeiro está animada com os novos recursos de a plataforma.,0
A plataforma tem atendido bem nossas necessidades desde a última atualização.,0
Nossa gerência elogiou o desempenho de o módulo de RH ao longo do ano.,0
A equipe comercial está insatisfeita com o sistema há duas semanas.,1
A experiência com o módulo de estoque tem sido muito positiva nos últimos dias.,0
Nosso time de TI quer expandir o uso de a solução da TOTVS para outros setores.,0
Nossa gerência elogiou o desempenho de o sistema nos últimos meses.,0
Nossa gerência elogiou o desempenho de o módulo de estoque desde a última atualização.,0
A diretoria está muito satisfeita com o módulo de compras desde a última atualização.,0
O suporte prioritário tem funcionado muito bem para nós.,0
A qualidade do atendimento superou nossas expectativas.,0
O módulo de vendas se mostrou estável mesmo em períodos de pico no último trimestre.,0
A diretoria está muito satisfeita com o módulo financeiro desde a última atualização.,0
A equipe comercial está muito satisfeita com o módulo financeiro nas últimas reuniões.,0
A plataforma Fluig tem atendido bem nossas necessidades essa semana.,0
O custo de o módulo de estoque aumentou e o time de suporte interno está reconsiderando o contrato.,1
Nossa gerência está avaliando trocar o módulo de estoque por outra solução.,1
Nossa equipe está muito satisfeita com a plataforma há duas semanas.,0
Nosso time de TI recomendaria o ERP para outras empresas.,0
A equipe de operações elogiou o desempenho de a solução da TOTVS no último trimestre.,0
A diretoria está avaliando trocar o módulo de compras por outra solução.,1
O ERP se mostrou estável mesmo em períodos de pico nos últimos dias.,0
A diretoria está animada com os novos recursos de o sistema Protheus.,0
Nosso time de TI elogiou o desempenho de o módulo financeiro no último trimestre.,0
Nossa equipe está animada com os novos recursos de o módulo financeiro.,0
O módulo de RM se mostrou estável mesmo em períodos de pico nos últimos dias.,0
A equipe de operações está animada com os novos recursos de o módulo de estoque.,0
A equipe comercial reclamou da demora do suporte sobre o sistema Protheus nos últimos meses.,1
Nosso time de TI está muito satisfeita com o sistema de gestão ao longo do ano.,0
O time de logística elogiou o desempenho de o módulo fiscal nas últimas reuniões.,0
Não tivemos nenhum problema com o módulo de RH esse mês.,0
O módulo fiscal apresentou instabilidade ao longo do ano.,1
O sistema Protheus apresentou lentidão constante nos últimos meses.,1
O módulo fiscal tem atendido bem nossas necessidades recentemente.,0
Nossa equipe está avaliando trocar a plataforma por outra solução.,1
Tivemos perda de dados usando o sistema de gestão recentemente.,1
O time de logística está frustrada com a complexidade de o módulo de RM.,1
A equipe de compras está confiante na parceria com a TOTVS.,0
O time de logística está muito satisfeita com o módulo de estoque recentemente.,0
O time de implantação cumpriu todos os prazos combinados.,0
O time de logística está animada com os novos recursos de o ERP.,0
A equipe de operações está insatisfeita com o sistema Protheus nos últimos dias.,1
Não tivemos nenhum problema com a solução da TOTVS nos últimos dias.,0
Não recebemos retorno do chamado sobre o módulo de vendas nos últimos meses.,1
A equipe de operações recomendaria o módulo de RM para outras empresas.,0
Temos planos de expandir o contrato para outra unidade.,0
O time de suporte interno está animada com os novos recursos de o módulo de RM.,0
O time financeiro está muito satisfeita com o ERP há duas semanas.,0
Não recebemos retorno do chamado sobre o sistema desde a última atualização.,1
A equipe de operações conseguiu automatizar processos importantes com o módulo fiscal.,0
A equipe de operações está frustrada com a complexidade de o módulo fiscal.,1
O sistema Protheus tem atendido bem nossas necessidades há duas semanas.,0
O ERP se mostrou estável mesmo em períodos de pico nos últimos meses.,0
A equipe de compras elogiou o desempenho de o sistema de gestão recentemente.,0
O custo de a solução da TOTVS aumentou e a diretoria está reconsiderando o contrato.,1
Nossa gerência está animada com os novos recursos de o módulo de vendas.,0
O sistema se mostrou estável mesmo em períodos de pico há duas semanas.,0
Nosso time de TI recomendaria o módulo de vendas para outras empresas.,0
A diretoria reclamou da demora do suporte sobre o módulo de vendas essa semana.,1
Não recebemos retorno do chamado sobre o módulo de compras nos últimos meses.,1
A equipe de compras está insatisfeita com o sistema desde a última atualização.,1
O sistema de gestão se mostrou estável mesmo em períodos de pico há duas semanas.,0
A equipe de projetos elogiou o desempenho de o módulo financeiro nos últimos meses.,0
A equipe comercial quer expandir o uso de a plataforma Fluig para outros setores.,0
A equipe de operações está animada com os novos recursos de a plataforma Fluig.,0
Nossa equipe está insatisfeita com o módulo financeiro essa semana.,1
Não recebemos retorno do chamado sobre o módulo de RM nos últimos dias.,1
Tivemos perda de dados usando o sistema Protheus nos últimos meses.,1
O sistema Protheus tem atendido bem nossas necessidades nos últimos dias.,0
Estamos recebendo muitas reclamações internas sobre o suporte.,1
A diretoria quer expandir o uso de o sistema para outros setores.,0
Não recebemos retorno do chamado sobre o módulo de RH desde a última atualização.,1
O time de logística reclamou da demora do suporte sobre o módulo de vendas há duas semanas.,1
Nossa equipe está muito satisfeita com a solução da TOTVS esse mês.,0
Vamos assinar o novo módulo de gestão de projetos.,0
A equipe comercial questiona se vale a pena continuar pagando por o módulo fiscal.,1
A equipe de operações está frustrada com a complexidade de o sistema Protheus.,1
Tivemos perda de dados usando o módulo de compras esse mês.,1
A equipe comercial está frustrada com a complexidade de o sistema.,1
O time de suporte interno quer expandir o uso de o sistema para outros setores.,0
O time de logística está animada com os novos recursos de o módulo de RM.,0
A solução da TOTVS apresentou instabilidade nos últimos meses.,1
Nosso time de TI elogiou o desempenho de o sistema ao longo do ano.,0
O módulo de estoque tem atendido bem nossas necessidades desde a última atualização.,0
A equipe de operações está muito satisfeita com o módulo financeiro essa semana.,0
O setor de RH está muito satisfeita com o módulo financeiro nas últimas reuniões.,0
A equipe de compras está frustrada com a complexidade de o módulo fiscal.,1
O time financeiro está muito satisfeita com o módulo de vendas nas últimas reuniões.,0
Nosso time de TI está avaliando trocar o sistema de gestão por outra solução.,1
O setor de RH está animada com os novos recursos de a plataforma Fluig.,0
O time financeiro reclamou da demora do suporte sobre o módulo de vendas há duas semanas.,1
A equipe de operações reclamou da demora do suporte sobre a plataforma nas últimas reuniões.,1
A plataforma apresentou instabilidade ao longo do ano.,1
O ERP tem atendido bem nossas necessidades essa semana.,0
A equipe de projetos está muito satisfeita com o módulo financeiro esse mês.,0
Nossa equipe está muito satisfeita com o sistema de gestão no último trimestre.,0
O custo de o módulo de RH aumentou e nosso time de TI está reconsiderando o contrato.,1
O módulo fiscal se mostrou estável mesmo em períodos de pico há duas semanas.,0
O time de suporte interno está insatisfeita com o módulo de RH no último trimestre.,1
A equipe comercial está animada com os novos recursos de o módulo de vendas.,0
A experiência com o módulo financeiro tem sido muito positiva recentemente.,0
A diretoria está muito satisfeita com a plataforma Fluig essa semana.,0
A diretoria está frustrada com a complexidade de a plataforma Fluig.,1
Nossa gerência está muito satisfeita com o ERP recentemente.,0
O ERP tem atendido bem nossas necessidades há duas semanas.,0
A equipe de compras está animada com os novos recursos de o módulo de RM.,0
A diretoria está frustrada com a complexidade de o sistema de gestão.,1
A equipe de projetos elogiou o desempenho de o módulo de RH há duas semanas.,0
Um concorrente ofereceu uma proposta melhor que a plataforma.,1
O time de logística questiona se vale a pena continuar pagando por o módulo de RH.,1
A diretoria elogiou o desempenho de o módulo de RH nos últimos dias.,0
A equipe de projetos está muito satisfeita com a plataforma nas últimas reuniões.,0
O consultor não tem conseguido resolver nosso problema.,1
O time de logística elogiou o desempenho de o módulo de compras no último trimestre.,0
Nosso time de TI está pensando em migrar para outra plataforma.,1
A equipe de compras está muito satisfeita com o módulo fiscal nas últimas reuniões.,0
A equipe de compras está insatisfeita com o módulo de RH essa semana.,1
O time de suporte interno está frustrada com a complexidade de o módulo de RH.,1
A equipe de operações está frustrada com a complexidade de o sistema.,1
A equipe de operações recomendaria o módulo de estoque para outras empresas.,0
O módulo fiscal se mostrou estável mesmo em períodos de pico recentemente.,0
A equipe de compras conseguiu automatizar processos importantes com o módulo de RM.,0
O módulo de RM apresentou lentidão constante desde a última atualização.,1
O módulo de vendas apresentou instabilidade nos últimos meses.,1
O módulo de RH tem atendido bem nossas necessidades no último trimestre.,0
Não tivemos nenhum problema com o sistema de gestão desde a última atualização.,0
A plataforma se mostrou estável mesmo em períodos de pico nas últimas reuniões.,0
A diretoria elogiou o desempenho de a solução da TOTVS nos últimos meses.,0
Não recebemos retorno do chamado sobre a plataforma nos últimos meses.,1
Nossa gerência recomendaria a plataforma Fluig para outras empresas.,0
A equipe de operações conseguiu automatizar processos importantes com a plataforma Fluig.,0
A equipe de operações está frustrada com a complexidade de o módulo financeiro.,1
Nosso time de TI está muito satisfeita com o módulo de RM esse mês.,0
O custo de o módulo de estoque aumentou e o time financeiro está reconsiderando o contrato.,1
O time de suporte interno está muito satisfeita com o módulo financeiro desde a última atualização.,0
Tivemos perda de dados usando a plataforma há duas semanas.,1
O time de suporte interno está muito satisfeita com o módulo de compras essa semana.,0
A equipe de projetos elogiou o desempenho de o ERP essa semana.,0
Não recebemos retorno do chamado sobre o módulo de estoque ao longo do ano.,1
O setor de RH está muito satisfeita com o módulo de vendas nas últimas reuniões.,0
O sistema de gestão se mostrou estável mesmo em períodos de pico no último trimestre.,0
O módulo de compras apresentou instabilidade há duas semanas.,1
O módulo de vendas apresentou instabilidade há duas semanas.,1
A experiência com a plataforma Fluig tem sido muito positiva nas últimas reuniões.,0
Estamos revendo o orçamento e o contrato pode ser um dos cortes.,1
Não tivemos nenhum problema com o módulo de estoque há duas semanas.,0
O time de suporte interno conseguiu automatizar processos importantes com o módulo de RM.,0
Tivemos perda de dados usando o módulo financeiro há duas semanas.,1
A solução da TOTVS se mostrou estável mesmo em períodos de pico no último trimestre.,0
A equipe de compras quer expandir o uso de a solução da TOTVS para outros setores.,0
A experiência com o sistema Protheus tem sido muito positiva ao longo do ano.,0
Nossa gerência conseguiu automatizar processos importantes com o módulo financeiro.,0
A equipe comercial elogiou o desempenho de a solução da TOTVS nos últimos dias.,0
O time financeiro está insatisfeita com o módulo de RM essa semana.,1
A equipe de operações elogiou o desempenho de a solução da TOTVS nos últimos meses.,0
A equipe comercial está muito satisfeita com o módulo financeiro desde a última atualização.,0
O time de suporte interno elogiou o desempenho de o módulo de estoque nas últimas reuniões.,0
A equipe de operações está frustrada com a complexidade de o módulo de compras.,1
A equipe de projetos questiona se vale a pena continuar pagando por o sistema Protheus.,1
A equipe de projetos quer expandir o uso de a solução da TOTVS para outros setores.,0
A diretoria está muito satisfeita com a plataforma nas últimas reuniões.,0
Não recebemos retorno do chamado sobre a plataforma Fluig no último trimestre.,1
O custo de o módulo de RM aumentou e o time financeiro está reconsiderando o contrato.,1
Nossa gerência está muito satisfeita com o ERP nos últimos dias.,0
O setor de RH questiona se vale a pena continuar pagando por a solução da TOTVS.,1
A diretoria reclamou da demora do suporte sobre o sistema de gestão esse mês.,1
Nosso time de TI elogiou o desempenho de a plataforma essa semana.,0
O módulo de RH tem atendido bem nossas necessidades ao longo do ano.,0
O setor de RH está muito satisfeita com o ERP nos últimos meses.,0
Nossa gerência elogiou o desempenho de o módulo de estoque no último trimestre.,0
O módulo de RM apresentou instabilidade no último trimestre.,1
O módulo de compras se mostrou estável mesmo em períodos de pico recentemente.,0
O time financeiro quer expandir o uso de o módulo de RM para outros setores.,0
Não recebemos retorno do chamado sobre o sistema Protheus nos últimos dias.,1
A equipe de compras elogiou o desempenho de a plataforma nas últimas reuniões.,0
Nossa gerência quer expandir o uso de o ERP para outros setores.,0
Não tivemos nenhum problema com o módulo de RM no último trimestre.,0
A equipe de compras reclamou da demora do suporte sobre o sistema Protheus essa semana.,1
Nosso time de TI conseguiu automatizar processos importantes com o sistema.,0
A equipe comercial elogiou o desempenho de o módulo de RH nas últimas reuniões.,0
Não tivemos nenhum problema com o módulo de RM essa semana.,0
A diretoria está avaliando trocar o sistema Protheus por outra solução.,1
O time financeiro questiona se vale a pena continuar pagando por a plataforma.,1
O time financeiro elogiou o desempenho de o sistema esse mês.,0
O módulo de compras se mostrou estável mesmo em períodos de pico ao longo do ano.,0
Não recebemos retorno do chamado sobre o módulo de RM há duas semanas.,1
Nosso time de TI conseguiu automatizar processos importantes com a plataforma.,0
O time de logística elogiou o desempenho de o sistema de gestão há duas semanas.,0
Nosso time de TI elogiou o desempenho de a plataforma nas últimas reuniões.,0
Nosso time de TI elogiou o desempenho de o módulo de vendas recentemente.,0
O time de logística está insatisfeita com o ERP recentemente.,1
Não tivemos nenhum problema com o módulo fiscal desde a última atualização.,0
Nossa gerência está insatisfeita com o sistema Protheus nos últimos dias.,1
O time de logística elogiou o desempenho de o módulo de RM ao longo do ano.,0
Nosso time de TI elogiou o desempenho de o ERP esse mês.,0
O módulo de RM se mostrou estável mesmo em períodos de pico essa semana.,0
Nossa equipe está animada com os novos recursos de a plataforma Fluig.,0
O time de logística elogiou o desempenho de a plataforma nas últimas reuniões.,0
A diretoria está animada com os novos recursos de o módulo de RM.,0
O custo de o módulo financeiro aumentou e o setor de RH está reconsiderando o contrato.,1
O time de suporte interno reclamou da demora do suporte sobre o módulo financeiro no último trimestre.,1
Não tivemos nenhum problema com o módulo de compras desde a última atualização.,0
Nosso time de TI está muito satisfeita com o sistema de gestão no último trimestre.,0
A equipe de compras reclamou da demora do suporte sobre a plataforma Fluig ao longo do ano.,1
A equipe comercial está animada com os novos recursos de o módulo de compras.,0
A solução da TOTVS apresentou instabilidade essa semana.,1
O suporte resolveu rapidamente nosso chamado sobre o módulo financeiro.,0
Não recebemos retorno do chamado sobre a plataforma Fluig há duas semanas.,1
A experiência com o módulo de estoque tem sido muito positiva há duas semanas.,0
Não há planos de trocar de fornecedor no momento.,0
A equipe de projetos está insatisfeita com o módulo financeiro esse mês.,1
O setor de RH recomendaria a plataforma Fluig para outras empresas.,0
A equipe de operações quer expandir o uso de o módulo financeiro para outros setores.,0
A plataforma tem atendido bem nossas necessidades essa semana.,0
A implementação está atrasada há mais de dois meses.,1
A equipe de operações quer expandir o uso de o módulo de estoque para outros setores.,0
Nossa equipe está muito satisfeita com o ERP essa semana.,0
O time de suporte interno está frustrada com a complexidade de o ERP.,1
Nossa equipe está animada com os novos recursos de o módulo fiscal.,0
O time de logística está muito satisfeita com a solução da TOTVS nos últimos meses.,0
A experiência com o módulo de RH tem sido muito positiva há duas semanas.,0
A experiência com a solução da TOTVS tem sido muito positiva recentemente.,0
Nosso time de TI está frustrada com a complexidade de a plataforma.,1
O time financeiro quer expandir o uso de o módulo de estoque para outros setores.,0
O setor de RH está muito satisfeita com o ERP desde a última atualização.,0
O time financeiro está muito satisfeita com o ERP nos últimos dias.,0
A equipe financeira quer reduzir custos com softwares no próximo ano.,1
A equipe de operações está animada com os novos recursos de a solução da TOTVS.,0
Não tivemos nenhum problema com o módulo de RH nos últimos meses.,0
A equipe comercial está animada com os novos recursos de o módulo financeiro.,0
Não recebemos retorno do chamado sobre a plataforma Fluig essa semana.,1
A plataforma apresentou instabilidade há duas semanas.,1
Tivemos perda de dados usando o ERP nos últimos dias.,1
O setor de RH está frustrada com a complexidade de o módulo de compras.,1
Não tivemos nenhum problema com o módulo financeiro nos últimos meses.,0
A equipe de compras conseguiu automatizar processos importantes com o sistema de gestão.,0
Tivemos perda de dados usando o módulo de RH nos últimos meses.,1
A equipe de compras elogiou o desempenho de a solução da TOTVS nos últimos meses.,0
Não tivemos nenhum problema com o ERP recentemente.,0
O suporte resolveu rapidamente nosso chamado sobre o módulo de RH.,0
O setor de RH está frustrada com a complexidade de o sistema.,1
Nossa gerência está animada com os novos recursos de o módulo fiscal.,0
O time financeiro está muito satisfeita com o sistema Protheus essa semana.,0
A experiência com a plataforma tem sido muito positiva há duas semanas.,0
Perdemos dados importantes em uma das últimas atualizações.,1
A equipe de projetos elogiou o desempenho de o módulo fiscal esse mês.,0
Nossa gerência elogiou o desempenho de a solução da TOTVS essa semana.,0
A solução da TOTVS apresentou lentidão constante ao longo do ano.,1
A equipe de compras está animada com os novos recursos de o sistema de gestão.,0
A equipe de projetos elogiou o desempenho de o módulo de estoque esse mês.,0
A diretoria está muito satisfeita com o módulo de estoque ao longo do ano.,0
Recomendamos a solução para outras empresas do grupo.,0
