frase,risco_churn
O time de suporte interno está avaliando trocar o módulo fiscal por outra solução.,1
O time financeiro está muito satisfeita com o módulo de vendas ao longo do ano.,0
O sistema apresentou lentidão constante ao longo do ano.,1
O time financeiro está avaliando trocar o sistema Protheus por outra solução.,1
O sistema de gestão apresentou lentidão constante no último trimestre.,1
Nossa gerência conseguiu automatizar processos importantes com a solução da TOTVS.,0
A experiência com o módulo financeiro tem sido muito positiva ao longo do ano.,0
A equipe de operações recomendaria o módulo fiscal para outras empresas.,0
Nossa equipe reclamou da demora do suporte sobre o sistema de gestão nas últimas reuniões.,1
O módulo de compras tem atendido bem nossas necessidades nas últimas reuniões.,0
O time de logística reclamou da demora do suporte sobre o módulo de RM essa semana.,1
A equipe de compras reclamou da demora do suporte sobre a plataforma Fluig essa semana.,1
O time financeiro está muito satisfeita com o módulo de estoque há duas semanas.,0
O time de logística está animada com os novos recursos de o módulo de estoque.,0
A equipe de projetos conseguiu automatizar processos importantes com o sistema.,0
A solução da TOTVS se mostrou estável mesmo em períodos de pico nas últimas reuniões.,0
Não tivemos nenhum problema com a plataforma esse mês.,0
O setor de RH questiona se vale a pena continuar pagando por o módulo de RH.,1
A equipe comercial está animada com os novos recursos de o módulo fiscal.,0
O time de suporte interno questiona se vale a pena continuar pagando por o módulo de compras.,1
A equipe comercial recomendaria o sistema para outras empresas.,0
A experiência com o módulo fiscal tem sido muito positiva nas últimas reuniões.,0
O time de logística elogiou o desempenho de a plataforma Fluig nos últimos dias.,0
A equipe de operações questiona se vale a pena continuar pagando por o módulo de compras.,1
A experiência com o módulo de estoque tem sido muito positiva desde a última atualização.,0
O sistema tem apresentado lentidão constante nos últimos dias.,1
O suporte tem demorado demais para responder nossos chamados.,1
A equipe de operações está muito satisfeita com o sistema há duas semanas.,0
Tivemos perda de dados usando a plataforma Fluig ao longo do ano.,1
A equipe de operações elogiou o desempenho de o módulo de RM recentemente.,0
O time financeiro está muito satisfeita com a plataforma desde a última atualização.,0
O módulo de estoque tem atendido bem nossas necessidades nos últimos dias.,0
A equipe de operações está muito satisfeita com a plataforma esse mês.,0
Tivemos perda de dados usando o módulo de RM há duas semanas.,1
Gostaríamos de conhecer mais sobre o módulo de BI.,0
Nosso time está satisfeito com a usabilidade da plataforma.,0
O setor de RH questiona se vale a pena continuar pagando por a plataforma Fluig.,1
Nossa gerência está muito satisfeita com o módulo financeiro nos últimos dias.,0
Tivemos perda de dados usando a plataforma Fluig no último trimestre.,1
Não tivemos nenhum problema com o sistema Protheus no último trimestre.,0
O custo de a solução da TOTVS aumentou e a equipe de operações está reconsiderando o contrato.,1
Nossa equipe está insatisfeita com o módulo de RM nas últimas reuniões.,1
Não tivemos nenhum problema com a plataforma no último trimestre.,0
O time financeiro está insatisfeita com o módulo de RH desde a última atualização.,1
A equipe comercial conseguiu automatizar processos importantes com o ERP.,0
O ERP se mostrou estável mesmo em períodos de pico esse mês.,0
A equipe de projetos está muito satisfeita com o módulo de RM ao longo do ano.,0
O time financeiro elogiou o desempenho de o ERP essa semana.,0
A equipe de compras elogiou o desempenho de o sistema de gestão desde a última atualização.,0
Nossa gerência recomendaria o sistema Protheus para outras empresas.,0
Não tivemos nenhum problema com o módulo de RM há duas semanas.,0
A equipe de compras está muito satisfeita com o módulo de RH há duas semanas.,0
A equipe de compras questiona se vale a pena continuar pagando por o ERP.,1
O setor de RH está muito satisfeita com o sistema de gestão nos últimos meses.,0
O setor de RH recomendaria o ERP para outras empresas.,0
A experiência com o sistema tem sido muito positiva nas últimas reuniões.,0
O suporte resolveu rapidamente nosso chamado sobre o sistema de gestão.,0
Um concorrente ofereceu uma proposta melhor que o sistema Protheus.,1
O time de logística está insatisfeita com o módulo fiscal ao longo do ano.,1
O módulo de RM tem atendido bem nossas necessidades desde a última atualização.,0
O time financeiro está avaliando trocar o sistema por outra solução.,1
O suporte resolveu rapidamente nosso chamado sobre o sistema Protheus.,0
O sistema Protheus apresentou lentidão constante nos últimos dias.,1
Nosso time de TI quer expandir o uso de o módulo de estoque para outros setores.,0
Nosso time de TI questiona se vale a pena continuar pagando por a plataforma.,1
Não tivemos nenhum problema com o módulo de compras nos últimos meses.,0
A equipe de compras elogiou o desempenho de o sistema Protheus essa semana.,0
Tivemos perda de dados usando o módulo de vendas no último trimestre.,1
O custo de o módulo de RM aumentou e nossa equipe está reconsiderando o contrato.,1
A diretoria está muito satisfeita com a plataforma desde a última atualização.,0
Não tivemos nenhum problema com a solução da TOTVS recentemente.,0
Nossa equipe elogiou o desempenho de o sistema recentemente.,0
O time de logística está insatisfeita com o sistema Protheus no último trimestre.,1
Não recebemos retorno do chamado sobre o sistema de gestão nos últimos meses.,1
O time de suporte interno elogiou o desempenho de o módulo de RH nas últimas reuniões.,0
O time de suporte interno elogiou o desempenho de o módulo de compras no último trimestre.,0
O módulo financeiro tem atendido bem nossas necessidades no último trimestre.,0
A diretoria questiona se vale a pena continuar pagando por o módulo fiscal.,1
A equipe de operações conseguiu automatizar processos importantes com o sistema de gestão.,0
A equipe de compras elogiou o desempenho de a plataforma essa semana.,0
A equipe comercial está insatisfeita com o módulo de estoque esse mês.,1
A equipe de projetos está muito satisfeita com o módulo de estoque nos últimos meses.,0
O time de suporte interno elogiou o desempenho de o módulo financeiro esse mês.,0
Nossa equipe elogiou o desempenho de a plataforma esse mês.,0
O time de logística quer expandir o uso de o módulo financeiro para outros setores.,0
Nosso time de TI elogiou o desempenho de o módulo fiscal nos últimos meses.,0
O time de suporte interno está muito satisfeita com o ERP esse mês.,0
O setor de RH recomendaria o sistema de gestão para outras empresas.,0
Nossa equipe recomendaria o módulo de compras para outras empresas.,0
A diretoria está avaliando trocar o módulo de vendas por outra solução.,1
A equipe de operações reclamou da demora do suporte sobre o ERP no último trimestre.,1
A equipe comercial conseguiu automatizar processos importantes com a plataforma.,0
A experiência com o módulo de RM tem sido muito positiva ao longo do ano.,0
Tivemos perda de dados usando o módulo financeiro desde a última atualização.,1
Não tivemos nenhum problema com o ERP esse mês.,0
O time de suporte interno está animada com os novos recursos de o módulo fiscal.,0
A experiência com o módulo financeiro tem sido muito positiva essa semana.,0
O módulo de RH se mostrou estável mesmo em períodos de pico nos últimos dias.,0
O suporte resolveu rapidamente nosso chamado sobre a plataforma Fluig.,0
O time de logística quer expandir o uso de o módulo de RH para outros setores.,0
A equipe comercial está muito satisfeita com o sistema de gestão nos últimos dias.,0
A equipe de compras está muito satisfeita com o sistema Protheus há duas semanas.,0
A diretoria está avaliando trocar o módulo de RM por outra solução.,1
A equipe de projetos recomendaria o ERP para outras empresas.,0
Nossa gerência reclamou da demora do suporte sobre o módulo de compras no último trimestre.,1
O time de logística está avaliando trocar o módulo de vendas por outra solução.,1
A equipe de compras quer expandir o uso de o ERP para outros setores.,0
O time de logística elogiou o desempenho de o ERP nos últimos dias.,0
Nosso time de TI elogiou o desempenho de o módulo de estoque há duas semanas.,0
O custo de o sistema de gestão aumentou e a equipe comercial está reconsiderando o contrato.,1
O time financeiro recomendaria a plataforma para outras empresas.,0
A equipe de compras quer expandir o uso de o módulo financeiro para outros setores.,0
O setor de RH conseguiu automatizar processos importantes com a solução da TOTVS.,0
O módulo de estoque apresentou instabilidade nos últimos dias.,1
A equipe de operações elogiou o desempenho de a plataforma há duas semanas.,0
O time de logística recomendaria o módulo de vendas para outras empresas.,0
Nossa equipe está muito satisfeita com a plataforma ao longo do ano.,0
A diretoria questiona se vale a pena continuar pagando por o sistema Protheus.,1
Não tivemos nenhum problema com o sistema Protheus essa semana.,0
A equipe comercial conseguiu automatizar processos importantes com o sistema de gestão.,0
O time de logística está muito satisfeita com o módulo de estoque desde a última atualização.,0
Não recebemos retorno do chamado sobre a plataforma no último trimestre.,1
O time de logística recomendaria a plataforma Fluig para outras empresas.,0
A equipe de operações elogiou o desempenho de o módulo de estoque nos últimos dias.,0
Não tivemos nenhum problema com o sistema há duas semanas.,0
A equipe comercial elogiou o desempenho de o sistema Protheus recentemente.,0
A equipe comercial está animada com os novos recursos de o sistema.,0
A equipe comercial recomendaria o sistema de gestão para outras empresas.,0
Nossa gerência está muito satisfeita com o módulo fiscal nos últimos meses.,0
Nossa equipe elogiou o desempenho de o ERP no último trimestre.,0
Nosso time de TI está muito satisfeita com o sistema Protheus nos últimos meses.,0
O custo de o sistema Protheus aumentou e o setor de RH está reconsiderando o contrato.,1
Nossa equipe elogiou o desempenho de o módulo financeiro essa semana.,0
A equipe comercial recomendaria o módulo de RM para outras empresas.,0
O módulo de RH apresentou lentidão constante esse mês.,1
A equipe de operações está avaliando trocar o módulo financeiro por outra solução.,1
O custo de o módulo fiscal aumentou e o setor de RH está reconsiderando o contrato.,1
O custo de a plataforma Fluig aumentou e nossa equipe está reconsiderando o contrato.,1
Nossa gerência está avaliando trocar a plataforma Fluig por outra solução.,1
A equipe comercial está avaliando trocar o módulo fiscal por outra solução.,1
O setor de RH recomendaria o sistema Protheus para outras empresas.,0
Nossa equipe elogiou o desempenho de a solução da TOTVS há duas semanas.,0
O módulo de estoque apresentou instabilidade no último trimestre.,1
O módulo de vendas tem atendido bem nossas necessidades nos últimos meses.,0
Não tivemos nenhum problema com o módulo de RH no último trimestre.,0
A experiência com o módulo de estoque tem sido muito positiva ao longo do ano.,0
Precisamos de uma solução mais barata para o próximo ciclo.,1
O módulo de RH tem atendido bem nossas necessidades nos últimos dias.,0
A equipe de projetos recomendaria o sistema Protheus para outras empresas.,0
A experiência com a plataforma tem sido muito positiva nos últimos meses.,0
O custo de o módulo de RM aumentou e a equipe de projetos está reconsiderando o contrato.,1
Não recebemos retorno do chamado sobre a solução da TOTVS nos últimos meses.,1
Nosso time de TI está avaliando trocar a solução da TOTVS por outra solução.,1
A plataforma apresentou lentidão constante desde a última atualização.,1
O time financeiro elogiou o desempenho de o módulo de vendas desde a última atualização.,0
O sistema de gestão se mostrou estável mesmo em períodos de pico desde a última atualização.,0
A equipe de compras reclamou da demora do suporte sobre o módulo financeiro ao longo do ano.,1
O custo de o módulo fiscal aumentou e a equipe comercial está reconsiderando o contrato.,1
O setor de RH conseguiu automatizar processos importantes com o módulo fiscal.,0
A solução da TOTVS tem atendido bem nossas necessidades ao longo do ano.,0
A diretoria está muito satisfeita com o sistema Protheus no último trimestre.,0
A equipe de projetos questiona se vale a pena continuar pagando por a plataforma Fluig.,1
Nossa equipe está insatisfeita com o módulo de RH nas últimas reuniões.,1
Tivemos perda de dados usando a solução da TOTVS desde a última atualização.,1
O time de suporte interno quer expandir o uso de o módulo de vendas para outros setores.,0
A diretoria quer expandir o uso de o ERP para outros setores.,0
O setor de RH está animada com os novos recursos de o módulo de vendas.,0
Nosso time de TI reclamou da demora do suporte sobre a plataforma nas últimas reuniões.,1
Nossa equipe está muito satisfeita com o módulo de RM recentemente.,0
O custo de o sistema Protheus aumentou e nossa equipe está reconsiderando o contrato.,1
O custo-benefício da solução continua sendo muito bom para nós.,0
A equipe de compras quer expandir o uso de o módulo de vendas para outros setores.,0
A solução da TOTVS se mostrou estável mesmo em períodos de pico esse mês.,0
Nossa gerência está muito satisfeita com o módulo financeiro desde a última atualização.,0
A equipe comercial está muito satisfeita com o módulo de RM essa semana.,0
A diretoria está muito satisfeita com o módulo de vendas há duas semanas.,0
A equipe de compras recomendaria o módulo fiscal para outras empresas.,0
A experiência com o módulo fiscal tem sido muito positiva recentemente.,0
Nosso time de TI está muito satisfeita com o módulo de RH esse mês.,0
O módulo de compras se mostrou estável mesmo em períodos de pico nas últimas reuniões.,0
A equipe de compras conseguiu automatizar processos importantes com o módulo financeiro.,0
A plataforma Fluig tem atendido bem nossas necessidades nos últimos meses.,0
A diretoria quer expandir o uso de a solução da TOTVS para outros setores.,0
A equipe de operações quer expandir o uso de a plataforma para outros setores.,0
Não tivemos nenhum problema com o módulo de RH ao longo do ano.,0
O setor de RH quer expandir o uso de a plataforma para outros setores.,0
A equipe de compras conseguiu automatizar processos importantes com a plataforma.,0
A equipe de operações está muito satisfeita com o módulo de compras ao longo do ano.,0
Nossa gerência está frustrada com a complexidade de a solução da TOTVS.,1
O módulo de RM apresentou instabilidade ao longo do ano.,1
A equipe de compras está muito satisfeita com o sistema de gestão nas últimas reuniões.,0
Não tivemos nenhum problema com o módulo financeiro desde a última atualização.,0
O setor de RH conseguiu automatizar processos importantes com o módulo financeiro.,0
A equipe de compras questiona se vale a pena continuar pagando por o sistema Protheus.,1
Nosso time de TI reclamou da demora do suporte sobre o módulo de RH ao longo do ano.,1
A diretoria conseguiu automatizar processos importantes com a solução da TOTVS.,0
O custo de o módulo de compras aumentou e a diretoria está reconsiderando o contrato.,1
Não recebemos retorno do chamado sobre o sistema de gestão esse mês.,1
Não tivemos nenhum problema com o módulo fiscal há duas semanas.,0
O ERP tem atendido bem nossas necessidades esse mês.,0
O sistema de gestão apresentou instabilidade essa semana.,1
O time de suporte interno está muito satisfeita com o sistema de gestão recentemente.,0
O módulo de estoque se mostrou estável mesmo em períodos de pico recentemente.,0
A plataforma Fluig tem atendido bem nossas necessidades no último trimestre.,0
A diretoria elogiou o desempenho de o módulo de RM nas últimas reuniões.,0
Nossa equipe conseguiu automatizar processos importantes com o módulo de vendas.,0
A equipe comercial está muito satisfeita com o módulo de estoque no último trimestre.,0
A equipe comercial está animada com os novos recursos de a solução da TOTVS.,0
Nosso time de TI reclamou da demora do suporte sobre a plataforma Fluig nos últimos dias.,1
O setor de RH recomendaria o módulo de estoque para outras empresas.,0
O sistema de gestão apresentou instabilidade esse mês.,1
O módulo fiscal apresentou lentidão constante nas últimas reuniões.,1
O sistema apresentou lentidão constante no último trimestre.,1
O time de logística conseguiu automatizar processos importantes com o módulo de RH.,0
Não tivemos nenhum problema com o módulo de RH desde a última atualização.,0
Tivemos perda de dados usando o módulo de RH desde a última atualização.,1
O custo de o módulo de vendas aumentou e o time de suporte interno está reconsiderando o contrato.,1
O custo de o sistema Protheus aumentou e a equipe de projetos está reconsiderando o contrato.,1
Tivemos perda de dados usando o módulo de vendas nos últimos meses.,1
A equipe de operações quer expandir o uso de o ERP para outros setores.,0
O custo de a plataforma aumentou e nossa equipe está reconsiderando o contrato.,1
Nossa gerência está muito satisfeita com o sistema esse mês.,0
Nosso time de TI reclamou da demora do suporte sobre o ERP nos últimos dias.,1
O setor de RH está muito satisfeita com o módulo financeiro recentemente.,0
O custo de o módulo de compras aumentou e a equipe de operações está reconsiderando o contrato.,1
O painel de indicadores facilitou muito a tomada de decisão.,0
O setor de RH quer expandir o uso de o módulo de compras para outros setores.,0
A equipe de compras reclamou da demora do suporte sobre o módulo financeiro desde a última atualização.,1
O time de suporte interno está muito satisfeita com o sistema Protheus ao longo do ano.,0
O time financeiro está muito satisfeita com o sistema recentemente.,0
O time financeiro está avaliando trocar o módulo de estoque por outra solução.,1
O relacionamento com o time de contas piorou nos últimos meses.,1
O ERP apresentou instabilidade desde a última atualização.,1
O time financeiro elogiou o desempenho de o sistema de gestão recentemente.,0
O time financeiro está muito satisfeita com o módulo fiscal ao longo do ano.,0
A equipe de operações está muito satisfeita com o módulo de compras essa semana.,0
O time de logística elogiou o desempenho de o módulo de estoque desde a última atualização.,0
Nossa equipe está muito satisfeita com o sistema Protheus nas últimas reuniões.,0
Nossa gerência está frustrada com a complexidade de o módulo de RH.,1
Nossa gerência elogiou o desempenho de o módulo fiscal esse mês.,0
A equipe de projetos está frustrada com a complexidade de o sistema Protheus.,1
Nossa equipe está frustrada com a complexidade de o ERP.,1
O time financeiro está animada com os novos recursos de a solução da TOTVS.,0
O setor de RH questiona se vale a pena continuar pagando por o módulo de compras.,1
Nossa gerência está animada com os novos recursos de a plataforma.,0
A equipe comercial conseguiu automatizar processos importantes com a solução da TOTVS.,0
O módulo de compras se mostrou estável mesmo em períodos de pico essa semana.,0
O ERP se mostrou estável mesmo em períodos de pico essa semana.,0
O custo de o módulo financeiro aumentou e o time de suporte interno está reconsiderando o contrato.,1
O módulo financeiro tem atendido bem nossas necessidades ao longo do ano.,0
Ficamos impressionados com a facilidade de uso do módulo de vendas.,0
O módulo financeiro apresentou instabilidade nos últimos dias.,1
A diretoria está frustrada com a complexidade de o módulo fiscal.,1
A equipe de compras está avaliando trocar a solução da TOTVS por outra solução.,1
O módulo de RM apresentou instabilidade nos últimos dias.,1
O módulo de RM tem atendido bem nossas necessidades há duas semanas.,0
Não tivemos nenhum problema com o sistema de gestão há duas semanas.,0
Continuamos confiantes na parceria de longo prazo.,0
A solução da TOTVS tem atendido bem nossas necessidades há duas semanas.,0
A equipe de compras questiona se vale a pena continuar pagando por o sistema de gestão.,1
A equipe comercial está frustrada com a complexidade de o módulo de vendas.,1
O time de suporte interno questiona se vale a pena continuar pagando por o módulo de estoque.,1
Tivemos perda de dados usando o módulo financeiro ao longo do ano.,1
A equipe de projetos quer expandir o uso de o módulo de estoque para outros setores.,0
O sistema atendeu bem ao pico de vendas do fim de ano.,0
Tivemos perda de dados usando o ERP no último trimestre.,1
O módulo de compras se mostrou estável mesmo em períodos de pico nos últimos meses.,0
O time financeiro está muito satisfeita com a solução da TOTVS recentemente.,0
Nossa equipe quer expandir o uso de o módulo de vendas para outros setores.,0
Nossa equipe elogiou o desempenho de o sistema essa semana.,0
A equipe comercial está frustrada com a complexidade de o ERP.,1
O sistema de gestão apresentou lentidão constante recentemente.,1
Tivemos perda de dados usando o módulo de estoque no último trimestre.,1
Não recebemos retorno do chamado sobre o sistema recentemente.,1
Não recebemos retorno do chamado sobre o sistema de gestão desde a última atualização.,1
Não estamos satisfeitos com o nível de personalização oferecido.,1
Nossa gerência elogiou o desempenho de o módulo de vendas há duas semanas.,0
Não tivemos nenhum problema com o módulo de vendas há duas semanas.,0
A experiência com o módulo financeiro tem sido muito positiva desde a última atualização.,0
A diretoria elogiou o desempenho de o sistema há duas semanas.,0
O time de suporte interno está muito satisfeita com o módulo de estoque desde a última atualização.,0
A equipe de compras quer expandir o uso de a plataforma para outros setores.,0
O time de logística elogiou o desempenho de o sistema Protheus desde a última atualização.,0
O time financeiro recomendaria a solução da TOTVS para outras empresas.,0
Tivemos perda de dados usando o módulo de estoque nos últimos meses.,1
Nosso time de TI questiona se vale a pena continuar pagando por o módulo de vendas.,1
A diretoria quer expandir o uso de o sistema de gestão para outros setores.,0
O setor de RH está frustrada com a complexidade de o módulo de vendas.,1
O time de logística está insatisfeita com o sistema Protheus há duas semanas.,1
A equipe de projetos questiona se vale a pena continuar pagando por o sistema.,1
A diretoria está muito satisfeita com a plataforma Fluig ao longo do ano.,0
O módulo fiscal apresentou lentidão constante no último trimestre.,1
Tivemos perda de dados usando a plataforma Fluig nos últimos dias.,1
Nossa gerência quer expandir o uso de a plataforma Fluig para outros setores.,0
O time de logística está muito satisfeita com o sistema Protheus recentemente.,0
A experiência com o módulo de RH tem sido muito positiva essa semana.,0
A equipe de compras está muito satisfeita com a plataforma Fluig essa semana.,0
O time financeiro recomendaria o sistema de gestão para outras empresas.,0
O módulo de estoque tem atendido bem nossas necessidades essa semana.,0
O sistema de gestão apresentou instabilidade no último trimestre.,1
Não tivemos nenhum problema com o sistema nos últimos dias.,0
O módulo fiscal apresentou instabilidade desde a última atualização.,1
A equipe de compras reclamou da demora do suporte sobre o ERP ao longo do ano.,1
A equipe de operações está avaliando trocar o módulo de compras por outra solução.,1
Não tivemos nenhum problema com a plataforma desde a última atualização.,0
O módulo de vendas apresentou instabilidade no último trimestre.,1
A equipe comercial conseguiu automatizar processos importantes com o módulo de estoque.,0
O time de logística está avaliando trocar o módulo financeiro por outra solução.,1
A equipe de projetos quer expandir o uso de o módulo fiscal para outros setores.,0
A equipe de projetos elogiou o desempenho de o módulo de vendas nos últimos meses.,0
O time de suporte interno elogiou o desempenho de a plataforma Fluig desde a última atualização.,0
O setor de RH está muito satisfeita com o ERP recentemente.,0
Estamos animados com os novos recursos anunciados para o próximo release.,0
A equipe comercial elogiou o desempenho de o módulo de RM há duas semanas.,0
O módulo fiscal apresentou instabilidade nos últimos dias.,1
O módulo de RH tem atendido bem nossas necessidades nas últimas reuniões.,0
A equipe de compras elogiou o desempenho de a plataforma ao longo do ano.,0
O sistema se mostrou estável mesmo em períodos de pico nos últimos meses.,0
A equipe de compras elogiou o desempenho de a solução da TOTVS nas últimas reuniões.,0
O time de suporte interno reclamou da demora do suporte sobre a plataforma Fluig recentemente.,1
O setor de RH está animada com os novos recursos de o módulo financeiro.,0
Estamos considerando cancelar um dos módulos contratados.,1
A experiência com o sistema Protheus tem sido muito positiva nos últimos dias.,0
O time de suporte interno recomendaria o sistema de gestão para outras empresas.,0
A equipe de projetos está muito satisfeita com o módulo de RM nos últimos meses.,0
A experiência com o módulo de compras tem sido muito positiva desde a última atualização.,0
Nossa equipe elogiou o desempenho de o sistema de gestão desde a última atualização.,0
A diretoria questiona se vale a pena continuar pagando por o módulo de RM.,1
Não tivemos nenhum problema com a plataforma há duas semanas.,0
A plataforma se mostrou estável mesmo em períodos de pico esse mês.,0
O time de logística elogiou o desempenho de o módulo de compras recentemente.,0
Não tivemos nenhum problema com a plataforma Fluig recentemente.,0
O time de logística elogiou o desempenho de o módulo de estoque no último trimestre.,0
A solução da TOTVS apresentou lentidão constante desde a última atualização.,1
A equipe comercial questiona se vale a pena continuar pagando por o ERP.,1
Não tivemos nenhum problema com o módulo financeiro no último trimestre.,0
Nossa equipe está insatisfeita com o sistema Protheus ao longo do ano.,1
O sistema de gestão se mostrou estável mesmo em períodos de pico nos últimos meses.,0
Não recebemos retorno do chamado sobre o módulo de RH ao longo do ano.,1
O ERP apresentou instabilidade essa semana.,1
A equipe comercial quer expandir o uso de o módulo de vendas para outros setores.,0
O time financeiro está animada com os novos recursos de o sistema Protheus.,0
Nossa gerência conseguiu automatizar processos importantes com a plataforma.,0
Nossa equipe elogiou o desempenho de o módulo de RH essa semana.,0
O time financeiro questiona se vale a pena continuar pagando por o sistema de gestão.,1
Tivemos perda de dados usando a plataforma Fluig há duas semanas.,1
A equipe de operações elogiou o desempenho de a plataforma Fluig há duas semanas.,0
A diretoria está insatisfeita com o ERP desde a última atualização.,1
A equipe de compras elogiou o desempenho de o sistema desde a última atualização.,0
O sistema de gestão se mostrou estável mesmo em períodos de pico ao longo do ano.,0
Não tivemos nenhum problema com o sistema esse mês.,0
Nossa gerência está insatisfeita com o módulo de RH nas últimas reuniões.,1
A equipe de projetos está animada com os novos recursos de o módulo de vendas.,0
Nossa equipe reclamou da demora do suporte sobre o módulo de RM no último trimestre.,1
A equipe de operações está muito satisfeita com o módulo fiscal no último trimestre.,0
Não recebemos retorno do chamado sobre o módulo de vendas há duas semanas.,1
Não tivemos nenhum problema com o módulo de vendas nos últimos meses.,0
O time de suporte interno está insatisfeita com o sistema de gestão recentemente.,1
O sistema de gestão apresentou instabilidade recentemente.,1
Nosso time de TI está muito satisfeita com o módulo de RM nas últimas reuniões.,0
A equipe de compras questiona se vale a pena continuar pagando por o módulo de RM.,1
Nosso time de TI está insatisfeita com o sistema de gestão essa semana.,1
Estamos confiantes de que o sistema vai atender nosso crescimento.,0
A equipe de projetos elogiou o desempenho de a plataforma Fluig nos últimos dias.,0
A plataforma Fluig apresentou lentidão constante ao longo do ano.,1
A equipe de projetos elogiou o desempenho de o módulo financeiro recentemente.,0
O time de logística questiona se vale a pena continuar pagando por o módulo fiscal.,1
Nossa gerência está muito satisfeita com a plataforma nos últimos dias.,0
Nosso time de TI quer expandir o uso de o módulo de compras para outros setores.,0
O setor de RH elogiou o desempenho de a plataforma Fluig recentemente.,0
Nossa equipe reclamou da demora do suporte sobre o módulo de estoque nos últimos dias.,1
A equipe de compras está muito satisfeita com o ERP essa semana.,0
Nossa gerência reclamou da demora do suporte sobre o módulo de compras essa semana.,1
A equipe de operações elogiou o desempenho de o módulo de compras recentemente.,0
O módulo de RM se mostrou estável mesmo em períodos de pico nas últimas reuniões.,0
O setor de RH está avaliando trocar o sistema Protheus por outra solução.,1
O sistema tem atendido bem nossas necessidades essa semana.,0
Nossa equipe está animada com os novos recursos de o módulo de compras.,0
A solução da TOTVS tem atendido bem nossas necessidades nos últimos meses.,0
Nossa equipe está muito satisfeita com o módulo financeiro ao longo do ano.,0
Não tivemos nenhum problema com a plataforma Fluig no último trimestre.,0
A diretoria elogiou o desempenho de a plataforma Fluig nos últimos meses.,0
A experiência com o ERP tem sido muito positiva nos últimos meses.,0
Tivemos perda de dados usando a plataforma essa semana.,1
O time de logística está insatisfeita com o módulo de compras esse mês.,1
Nossa equipe elogiou o desempenho de a solução da TOTVS no último trimestre.,0
O módulo de vendas apresentou lentidão constante desde a última atualização.,1
A migração de dados foi feita sem nenhum problema.,0
O módulo de RH apresentou instabilidade esse mês.,1
A equipe de projetos reclamou da demora do suporte sobre a solução da TOTVS recentemente.,1
A nova versão do Protheus trouxe ganhos reais de produtividade.,0
A experiência com a solução da TOTVS tem sido muito positiva essa semana.,0
A equipe de compras reclamou da demora do suporte sobre o ERP no último trimestre.,1
A equipe de compras reclamou da demora do suporte sobre o sistema desde a última atualização.,1
O time de logística está muito satisfeita com a plataforma ao longo do ano.,0
O ERP se mostrou estável mesmo em períodos de pico desde a última atualização.,0
A equipe de compras quer expandir o uso de o sistema Protheus para outros setores.,0
Não tivemos nenhum problema com o módulo financeiro nas últimas reuniões.,0
